CO	N	idle
0	1	95.97
47	2	89.09
84	3	79.69
121	4	74.4
156	5	70.58
192	6	68.72
211	7	67.43
233	8	58.49
264	9	57.2
290	10	51.66
301	11	45.99
308	12	34.29
339	13	32.97
360	14	30.01
393	15	27.58
393	16	26.71
404	17	22.66
412	18	20.23
450	19	17.28
454	20	7
494	21	6.96
496	22	2.55
493	23	4.65
497	24	1.53
502	25	3.52
485	26	2.7
456	27	4.99
458	28	0.75
484	29	1.21
492	30	0.74
487	31	0.48
496	32	0
488	33	0.74
476	34	1.7
485	35	0.7
495	36	0
509	37	0
503	38	0
496	39	0.18
505	40	0
0	41	0.18
499	42	0
494	43	0
490	44	0
460	45	0
494	46	0.17
489	47	0
474	48	0
484	49	0.17
483	50	0
